"date","time","network","text","link","media"
"2026-06-01","07:30","Instagram","Acordou às quatro e treze.

Não foi o telemóvel.
Não foi um som.

Foi como se alguém tivesse aberto a porta — e fechado outra vez.

Cap. 1 de 30 · Trinta Manhãs

Continua amanhã. seteveus.space

#TrintaManhas #EscolaDosVeus #ContoDiario #LiteraturaCurta #PortugalLiterario #Permanencia #ManhaCedo #LerNoCelular","seteveus.space","trinta-manhas-cap-01.mp4"
"2026-06-01","07:30","TikTok","Acordou às 4:13. Sem motivo.

Cap. 1 de 30 · Trinta Manhãs
seteveus.space

#TrintaManhas #EscolaDosVeus #ContoDiario #LiteraturaCurta #PortugalLiterario #Permanencia #ManhaCedo #LerNoCelular","seteveus.space","trinta-manhas-cap-01.mp4"
"2026-06-01","07:30","YouTube","Trinta Manhãs · 1/30 · Acordou às 4:13

Cap. 1 de um conto em 30 manhãs de Junho. seteveus.space

#TrintaManhas #EscolaDosVeus #ContoDiario #LiteraturaCurta #PortugalLiterario #Permanencia #ManhaCedo #LerNoCelular","seteveus.space","trinta-manhas-cap-01.mp4"
"2026-06-01","08:30","Facebook","Acordou às quatro e treze.

Não foi o telemóvel.
Não foi um som.

Foi como se alguém tivesse aberto a porta — e fechado outra vez.

Cap. 1 de 30 · Trinta Manhãs

Continua amanhã. seteveus.space

#TrintaManhas #EscolaDosVeus #ContoDiario #LiteraturaCurta #PortugalLiterario #Permanencia #ManhaCedo #LerNoCelular","seteveus.space","trinta-manhas-cap-01.mp4"
"2026-06-02","07:30","Instagram","Procurava um carregador.

Encontrou uma carta da mãe.
Letra antiga. Dezassete anos.

Pesou-a na mão. Não pesava nada.
Voltou a fechar a gaveta.

Cap. 2 de 30 · Trinta Manhãs

Continua amanhã. seteveus.space

#TrintaManhas #EscolaDosVeus #ContoDiario #LiteraturaCurta #PortugalLiterario #Memoria #CartaAntiga #Maes","seteveus.space","trinta-manhas-cap-02.mp4"
"2026-06-02","07:30","TikTok","Encontrou uma carta da mãe.
Não a abriu.

Cap. 2 de 30 · Trinta Manhãs
seteveus.space

#TrintaManhas #EscolaDosVeus #ContoDiario #LiteraturaCurta #PortugalLiterario #Memoria #CartaAntiga #Maes","seteveus.space","trinta-manhas-cap-02.mp4"
"2026-06-02","07:30","YouTube","Trinta Manhãs · 2/30 · A carta na gaveta

Procurava um carregador. Encontrou outra coisa. seteveus.space

#TrintaManhas #EscolaDosVeus #ContoDiario #LiteraturaCurta #PortugalLiterario #Memoria #CartaAntiga #Maes","seteveus.space","trinta-manhas-cap-02.mp4"
"2026-06-02","08:30","Facebook","Procurava um carregador.

Encontrou uma carta da mãe.
Letra antiga. Dezassete anos.

Pesou-a na mão. Não pesava nada.
Voltou a fechar a gaveta.

Cap. 2 de 30 · Trinta Manhãs

Continua amanhã. seteveus.space

#TrintaManhas #EscolaDosVeus #ContoDiario #LiteraturaCurta #PortugalLiterario #Memoria #CartaAntiga #Maes","seteveus.space","trinta-manhas-cap-02.mp4"
"2026-06-03","07:30","Instagram","A chaleira começou a apitar.

Ela ficou na cadeira.
Disse a si mesma: agora levanto.

Não se levantou.
A chaleira apitou até parar sozinha.

Cap. 3 de 30 · Trinta Manhãs

Continua amanhã. seteveus.space

#TrintaManhas #EscolaDosVeus #ContoDiario #LiteraturaCurta #PortugalLiterario #Turbilhao #Silencio #Mindfulness","seteveus.space","trinta-manhas-cap-03.mp4"
"2026-06-03","07:30","TikTok","A chaleira apitou até parar sozinha.
A cabeça também.

Cap. 3 de 30 · Trinta Manhãs
seteveus.space

#TrintaManhas #EscolaDosVeus #ContoDiario #LiteraturaCurta #PortugalLiterario #Turbilhao #Silencio #Mindfulness","seteveus.space","trinta-manhas-cap-03.mp4"
